COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CONV_COLL;Convention collective redressée par la Dares;0412;Convention collective nationale de travail des guides accompagnateurs et accompagnateurs au service des agences de voyages et de tourisme;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0412;Convention collective nationale de travail des guides accompagnateurs et accompagnateurs au service des agences de voyages et de tourisme (annexée à la convention collective nationale du personnel des agences de voyages et de tourisme 1710);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0413;Convention collective nationale de travail des établissements et services pour personnes inadaptées et handicapées (convention de 1966, snapei);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0416;Convention collective départementale des ouvriers du bâtiment et des travaux publics du département des côtes-du-nord (côtes d'armor);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0418;Convention collective nationale de la chemiserie sur mesure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0418;Convention collective nationale de la chemiserie sur mesure (annexée à la convention collective nationale de la couture parisienne 0303);CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0434;Nouveaute commerce loire atlantique nantes empl.;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0435;Production cinematographique acteurs;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0436;Convention collective départementale des ouvriers du bâtiment et des travaux publics de la charente-maritime;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0438;Convention collective nationale de travail des échelons intermédiaires des services extérieurs de production des sociétés d'assurances;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0440;Convention collective départementale des sucreries et sucreries-distilleries de la réunion;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0450;Commerce de gros de jouets bimbeloterie bazars;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0454;Convention collective nationale des remontées mécaniques et domaines skiables;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0455;Commerce meuse detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0456;Convention collective départementale des ouvriers du bâtiment du morbihan;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0468;Convention collective du commerce succursaliste de la chaussure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0468;Convention collective nationale du commerce succursaliste de la chaussure;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0478;Convention collective nationale des sociétés financières;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0486;Commerce saone et loire detail non alimentaire;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0489;Convention collective du personnel des industries du cartonnage;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0489;Convention collective nationale du personnel des industries du cartonnage;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0490;Commerce vosges detail;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0493;Convention collective nationale des vins, cidres, jus de fruits, sirops, spiritueux et liqueurs de france;CHAR;4
CONV_COLL;Convention collective redressée par la Dares;0500;Convention collective nationale des commerces de gros de l'habillement, de la mercerie, de la chaussure et du jouet;CHAR;4
